control_point_id,dataset_key,control_type,severity,target_id,why_it_matters,suggested_user_check,agent_action,status,payload
AZ:cross_role_edge:az:aryl_halide:C1--az:amine:N1,AZ,cross_role_edge,high,az:aryl_halide:C1--az:amine:N1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '2'
source_node_id: az:aryl_halide:C1
target_node_id: az:amine:N1
relation_type: FORMING_BOND
weight: '0.5'
evidence_sources: buchwald_hartwig_acs_chemrev_2025;buchwald_hartwig_libretexts;buchwald_hartwig_nature_index_topic"
AZ:cross_role_edge:az:ligand:P1--az:aryl_halide:C1,AZ,cross_role_edge,high,az:ligand:P1--az:aryl_halide:C1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '3'
source_node_id: az:ligand:P1
target_node_id: az:aryl_halide:C1
relation_type: METAL_COORDINATION
weight: '0.5'
evidence_sources: buchwald_hartwig_acs_chemrev_2025;buchwald_hartwig_libretexts;buchwald_hartwig_nature_index_topic"
AZ:minimal_reaction_center_graph:AZ:node_count,AZ,minimal_reaction_center_graph,medium,AZ:node_count,Graph is very small and may miss substituent or ligand environment.,Consider expanding topology with MoleCode/RDKit structural nodes and missing-DFT masks.,reported_not_blocking,open,node_count: 5
AZ:sparse_role_topology:AZ:ligand,AZ,sparse_role_topology,medium,AZ:ligand,"Role ligand has only 1 graph node(s), but source data contains global descriptors for this role.","Decide whether to add role-level/global descriptor nodes, or expand topology with missing-DFT atom nodes.",reported_not_blocking,open,"role: ligand
graph_node_count: 1
source_profile:
  role_prefix: ligand
  total_column_count: 9
  atom_descriptor_column_count: 2
  global_descriptor_column_count: 7
  atom_descriptor_sample:
  - ligand_.P1_electrostatic_charge
  - ligand_.P1_NMR_shift
  global_descriptor_sample:
  - ligand_amount
  - ligand_molecular_weight
  - ligand_hardness
  - ligand_dipole_moment
  - ligand_electronegativity
  - ligand_E_HOMO
  - ligand_E_LOMO"
SU_NO:cross_role_edge:su_no:aryl_halide:C1--su_no:organoboron:C1,SU_NO,cross_role_edge,high,su_no:aryl_halide:C1--su_no:organoboron:C1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '56'
source_node_id: su_no:aryl_halide:C1
target_node_id: su_no:organoboron:C1
relation_type: FORMING_BOND
weight: '0.5'
evidence_sources: suzuki_miyaura_intramolecular_review_pmc_2024;suzuki_miyaura_recent_developments_pmc_2014;suzuki_transmetalation_pubmed_2013"
SU_NO:cross_role_edge:su_no:organoboron:B1--su_no:aryl_halide:C1,SU_NO,cross_role_edge,high,su_no:organoboron:B1--su_no:aryl_halide:C1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '57'
source_node_id: su_no:organoboron:B1
target_node_id: su_no:aryl_halide:C1
relation_type: METAL_COORDINATION
weight: '0.5'
evidence_sources: suzuki_miyaura_intramolecular_review_pmc_2024;suzuki_miyaura_recent_developments_pmc_2014;suzuki_transmetalation_pubmed_2013"
SU_NO:cross_role_edge:su_no:ligand:P1--su_no:aryl_halide:C1,SU_NO,cross_role_edge,high,su_no:ligand:P1--su_no:aryl_halide:C1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '58'
source_node_id: su_no:ligand:P1
target_node_id: su_no:aryl_halide:C1
relation_type: METAL_COORDINATION
weight: '0.5'
evidence_sources: suzuki_miyaura_intramolecular_review_pmc_2024;suzuki_miyaura_recent_developments_pmc_2014;suzuki_transmetalation_pubmed_2013"
SU_NO:sparse_role_topology:SU_NO:ligand,SU_NO,sparse_role_topology,medium,SU_NO:ligand,"Role ligand has only 1 graph node(s), but source data contains global descriptors for this role.","Decide whether to add role-level/global descriptor nodes, or expand topology with missing-DFT atom nodes.",reported_not_blocking,open,"role: ligand
graph_node_count: 1
source_profile:
  role_prefix: ligand
  total_column_count: 8
  atom_descriptor_column_count: 2
  global_descriptor_column_count: 6
  atom_descriptor_sample:
  - ligand_.P1_electrostatic_charge
  - ligand_.P1_NMR_shift
  global_descriptor_sample:
  - ligand_molecular_weight
  - ligand_hardness
  - ligand_dipole_moment
  - ligand_electronegativity
  - ligand_E_HOMO
  - ligand_E_LOMO"
DY:cross_role_edge:dy:ligand:P1--dy:aryl_halide:C1,DY,cross_role_edge,high,dy:ligand:P1--dy:aryl_halide:C1,Cross-role candidate relation requires human/mechanistic approval.,"Approve, reject, or adjust relation_type/weight.",reported_not_blocking,open,"edge_index: '23'
source_node_id: dy:ligand:P1
target_node_id: dy:aryl_halide:C1
relation_type: METAL_COORDINATION
weight: '0.5'
evidence_sources: buchwald_hartwig_acs_chemrev_2025;buchwald_hartwig_libretexts;buchwald_hartwig_nature_index_topic"
DY:isolated_nodes:DY:isolated_nodes,DY,isolated_nodes,medium,DY:isolated_nodes,Some feature-bearing atoms do not pass messages to other atoms.,"Confirm they should remain readout-only nodes, or add reviewed role/cross-role relations.",reported_not_blocking,open,"isolated_nodes:
- dy:additive:C5
- dy:aryl_halide:H2
- dy:aryl_halide:H3
- dy:base:N1
- dy:ligand:H3
- dy:ligand:H4
- dy:ligand:H9
- dy:ligand:H11"
